date,ticker,price
2024-01-01,AAPL,148.52860532127855
2024-01-02,AAPL,147.47123142118846
2024-01-03,AAPL,145.66134206655423
2024-01-04,AAPL,146.25746815279325
2024-01-05,AAPL,146.38915393879097
2024-01-06,AAPL,145.89033003194842
2024-01-07,AAPL,146.46225647293306
2024-01-08,AAPL,145.72512810563313
2024-01-09,AAPL,147.30975553874373
2024-01-10,AAPL,147.0388212492103
2024-01-11,AAPL,146.37787195570334
2024-01-12,AAPL,145.75589285899545
2024-01-13,AAPL,144.9417215692533
2024-01-14,AAPL,145.38075549966916
2024-01-15,AAPL,147.14185880066242
2024-01-16,AAPL,145.8874494130622
2024-01-17,AAPL,144.2420976804861
2024-01-18,AAPL,142.95424630936213
2024-01-19,AAPL,144.41034611626424
2024-01-20,AAPL,145.61252362903687
